date,country,regime,regime_name,reserves_usd_m,inflation_yoy,policy_rate,real_policy_rate,kibor
2021-11-01,Pakistan,0,CALM,18900.0,10.5,9.125,-1.375,9.425
2021-12-01,Pakistan,1,STRESS,18500.0,11.0,9.75,-1.25,10.05
2022-01-01,Pakistan,0,CALM,16000.0,13.0,9.75,-3.25,10.55
2022-02-01,Pakistan,1,STRESS,14000.0,13.133333333333333,10.583333333333334,-2.5500000000000003,11.383333333333336
2022-03-01,Pakistan,0,CALM,12000.0,13.266666666666667,11.416666666666666,-1.8500000000000003,12.216666666666669
2022-04-01,Pakistan,1,STRESS,10000.0,13.4,12.25,-1.1500000000000004,13.05
2022-05-01,Pakistan,2,CRISIS,9600.0,17.35,13.625,-3.725000000000001,14.425
2022-06-01,Pakistan,2,CRISIS,9200.0,21.3,15.0,-6.300000000000001,15.8
2022-07-01,Pakistan,2,CRISIS,8800.0,21.933333333333334,15.0,-6.933333333333334,15.8
2022-08-01,Pakistan,2,CRISIS,8400.0,22.566666666666663,15.0,-7.566666666666666,15.8
2022-09-01,Pakistan,2,CRISIS,8000.0,23.2,15.0,-8.2,15.8
2022-10-01,Pakistan,2,CRISIS,7333.333333333333,23.633333333333333,15.333333333333334,-8.299999999999999,16.133333333333333
2022-11-01,Pakistan,2,CRISIS,6666.666666666667,24.066666666666663,15.666666666666666,-8.4,16.46666666666667
2022-12-01,Pakistan,2,CRISIS,6000.0,24.5,16.0,-8.5,16.8
2023-01-01,Pakistan,2,CRISIS,3700.0,27.6,17.0,-10.6,17.8
2023-02-01,Pakistan,2,CRISIS,3800.0,30.53333333333333,18.33333333333333,-12.2,19.133333333333333
2023-03-01,Pakistan,2,CRISIS,3900.0,33.46666666666667,19.666666666666668,-13.8,20.46666666666667
2023-04-01,Pakistan,2,CRISIS,4000.0,36.4,21.0,-15.4,21.8
2023-05-01,Pakistan,2,CRISIS,4250.0,32.9,21.5,-11.4,22.3
2023-06-01,Pakistan,2,CRISIS,4500.0,29.4,22.0,-7.399999999999999,22.8
2023-07-01,Pakistan,2,CRISIS,5333.333333333333,28.73333333333333,22.0,-6.733333333333332,22.666666666666668
2023-08-01,Pakistan,2,CRISIS,6166.666666666667,28.066666666666663,22.0,-6.0666666666666655,22.53333333333333
2023-09-01,Pakistan,2,CRISIS,7000.0,27.4,22.0,-5.399999999999999,22.4
2023-10-01,Pakistan,2,CRISIS,7166.666666666667,28.0,22.0,-5.999999999999999,22.4
2023-11-01,Pakistan,2,CRISIS,7333.333333333333,28.6,22.0,-6.599999999999999,22.4
2023-12-01,Pakistan,2,CRISIS,7500.0,29.2,22.0,-7.199999999999999,22.4
2024-01-01,Pakistan,2,CRISIS,8000.0,28.3,22.0,-6.300000000000001,22.4
2024-02-01,Pakistan,2,CRISIS,8000.0,25.766666666666666,22.0,-3.766666666666667,22.4
2024-03-01,Pakistan,2,CRISIS,8000.0,23.23333333333333,22.0,-1.2333333333333334,22.4
2024-04-01,Pakistan,2,CRISIS,8000.0,20.7,22.0,1.3000000000000007,22.4
2024-05-01,Pakistan,2,CRISIS,8350.0,17.925,21.375,3.4500000000000006,21.775
2024-06-01,Pakistan,2,CRISIS,8700.0,15.15,20.75,5.6000000000000005,21.15
2024-07-01,Pakistan,2,CRISIS,9050.0,12.375,20.125,7.75,20.525
2024-08-01,Pakistan,0,CALM,9400.0,9.6,19.5,9.9,19.9
2024-09-01,Pakistan,1,STRESS,9675.0,8.225,17.875,9.65,18.275
2024-10-01,Pakistan,0,CALM,9950.0,6.85,16.25,9.4,16.65
2024-11-01,Pakistan,1,STRESS,10225.0,5.475,14.625,9.15,15.025
2024-12-01,Pakistan,0,CALM,10500.0,4.1,13.0,8.9,13.4
