date,const,gross_reserves_usd_m_lag1,exports_usd_m_lag1,imports_usd_m_lag1,remittances_usd_m_lag1
2015-12-01,-12290.356557444095,-8941546.32917318,1563761.6122969338,6394062.785903225,-24582.522402563034
2016-01-01,-12360.181761303922,-8992778.087471813,1576177.7888806206,6448522.1505799685,-65927.49119366235
2016-02-01,-12428.942648571787,-9043345.04265996,1600625.6701313113,6493411.656399803,35635.16006355785
2016-03-01,-12497.513075117193,-9093811.990679054,1626876.832957333,6529303.911215014,44920.918783049536
2016-04-01,-12564.301416949007,-9143289.089538537,1663834.9867131547,6591184.403226063,-91332.52228146596
2016-05-01,-12635.031254749303,-9195431.525458405,1655570.2598645852,6650922.515203571,-106111.09113208744
2016-06-01,-12704.623483515817,-9246916.674476577,1673074.9873884232,6710516.703733834,-84626.22959873434
2016-07-01,-12774.979455910996,-9298853.89984506,1702609.9376886422,6754136.1472456455,-75488.34938539876
2016-08-01,-12850.10937009389,-9353867.001662541,1697951.2365973752,6754709.980123048,43637.90867067165
2016-09-01,-12923.219069251703,-9407720.231996393,1693039.6143145766,6801534.250788186,-11945.472681998968
2016-10-01,-12995.415229026674,-9461023.897024965,1706519.4866081125,6836073.161040397,53079.3888931762
2016-11-01,-13066.009243344126,-9513391.502075743,1708873.7252790923,6908277.196130908,4838.743703451207
2016-12-01,-13136.537117878363,-9565711.22805584,1713258.9971403002,6968263.825288306,30431.339668076893
2017-01-01,-13205.554109428742,-9617185.941525795,1750068.6389166832,7018294.280905381,-97035.06194757209
2017-02-01,-13276.491040302231,-9669970.71176515,1770995.7926788176,7064345.850216489,-98495.94947300936
2017-03-01,-13350.993230952012,-9725137.044868922,1781136.8767855237,7081948.180604419,23833.656703311637
2017-04-01,-13425.722608566342,-9780455.948346037,1791690.0849245677,7130501.078640338,86483.84169608088
2017-05-01,-13505.917147704602,-9839273.05869403,1743134.3660526173,7138781.015520809,139600.48779825994
2017-06-01,-13584.836408377041,-9897469.097761186,1734603.483812683,7129513.313421564,21046.946946071508
2017-07-01,-13662.252678090652,-9954771.113118602,1752208.6584224333,7114287.387867788,94742.24979477248
2017-08-01,-13739.160387863054,-10011766.078708148,1760672.0462366939,7141747.78459469,42812.59206212823
2017-09-01,-13819.369336832759,-10070830.30010609,1725923.3801510606,7173923.861709586,106631.19926882791
2017-10-01,-13897.616600756848,-10128736.979432924,1730716.1500644146,7188709.068848001,174075.70456167654
2017-11-01,-13974.44022272693,-10185870.88799632,1727598.3783590337,7226768.451244722,134725.33576367615
2017-12-01,-14049.348756660811,-10241953.587287258,1724898.848189817,7286999.567699233,55941.22434705361
2018-01-01,-14123.68647465411,-10297706.016937578,1741730.4231628445,7322111.149653075,-7678.119423331632
2018-02-01,-14198.722698478563,-10353921.180574177,1756130.977004616,7359813.279105852,-147971.39172472924
2018-03-01,-14278.740291840775,-10413780.643154811,1722025.3535231194,7374161.005919535,36637.32884911233
2018-04-01,-14355.753337927626,-10471920.347671792,1754012.0030404849,7391748.384465022,-43021.758054000595
2018-05-01,-14440.407167077301,-10535226.052602882,1680950.0146197008,7360683.987917584,-39905.96247598121
2018-06-01,-14518.022245043569,-10594736.707363846,1668371.3437847649,7366769.507974568,-44925.93997077788
2018-07-01,-14595.659305582612,-10654248.74174473,1644301.3776034182,7352820.002870756,79752.43357337595
2018-08-01,-14669.337292659202,-10711701.856599763,1649695.4600196534,7364111.480682141,-42518.04904172354
2018-09-01,-14746.351015443448,-10771195.088012148,1603250.7484651946,7379746.22642303,58673.13894672004
2018-10-01,-14820.324380202175,-10829079.705471478,1596049.395509287,7398763.896972535,96867.05700617844
2018-11-01,-14894.05035480145,-10886841.635815041,1573677.5012609803,7416261.632188856,-114095.3132424169
2018-12-01,-14967.714199210799,-10944559.465497186,1561451.0636062198,7425031.213598539,-86992.60433526008
2019-01-01,-15041.725020518285,-11002470.106221413,1557685.9258532813,7424808.559165138,-116276.455921666
2019-02-01,-15117.682853638675,-11061523.094322816,1544261.6192865716,7424302.180535649,-91551.68466879174
2019-03-01,-15196.944247428719,-11122378.692622976,1518724.285417232,7389569.217003086,-98796.84658774134
2019-04-01,-15278.38022336741,-11184318.617037904,1467784.5016104043,7372129.552398281,-121799.38507764954
2019-05-01,-15359.427392216989,-11246035.320826165,1411451.1758336944,7385866.104199225,-380321.034885936
2019-06-01,-15439.877888385601,-11307423.63102626,1384749.1201747907,7387639.3113729255,-311602.20906088484
2019-07-01,-15523.840654597918,-11370791.480619287,1356468.1201903007,7275676.423918461,-182531.19822086426
2019-08-01,-15603.536592354274,-11431861.347268824,1321155.0990601068,7301064.541570874,-393380.88908988197
2019-09-01,-15685.58730932258,-11494405.194414627,1285226.4454822147,7270896.673402039,-208796.9467032611
2019-10-01,-15763.885134462118,-11555011.574973568,1255709.1940714428,7303155.3410392925,-271609.127471378
2019-11-01,-15840.819009572993,-11614910.411148697,1247666.7594558632,7313595.393550173,-403493.47562415747
2019-12-01,-15920.165630485424,-11676271.17615366,1215670.956996829,7294372.426746236,-261135.5125294804
2020-01-01,-15996.834241940476,-11736256.954581028,1221683.0126584033,7285002.3166738115,-517371.40844559815
2020-02-01,-16079.150095889137,-11799992.141463587,1176401.1849939267,7244164.868622904,-393597.7217363454
2020-03-01,-16163.44627352978,-11864886.149686256,1126001.5282238298,7163791.037921523,-335608.943866076
2020-04-01,-16246.453669764947,-11929094.653045649,1062159.4568849048,7098571.567973923,-584143.2837033251
2020-05-01,-16327.46374892742,-11992310.41594788,972570.9216079378,7059965.210233766,-685923.4988975732
2020-06-01,-16396.768342788808,-12051146.340125712,992091.4907769847,7014709.780523539,-547249.0570670511
2020-07-01,-16460.56674293694,-12107609.77295301,1019130.2619449683,6986367.226301143,-499508.61742022156
2020-08-01,-16525.712998549316,-12164834.526964547,1008791.8998630496,6998232.112980814,-502188.30461705313
2020-09-01,-16596.313785336275,-12225889.709456557,945975.2613623353,7001526.407221509,-432113.27581767977
2020-10-01,-16663.550673854355,-12284707.884040698,921778.281428124,7067845.245440287,-447927.93059134175
2020-11-01,-16732.643988666983,-12344834.173690239,887050.5650714631,7089732.749680189,-405880.9211187966
2020-12-01,-16801.228237746607,-12404645.049735796,855542.8212882137,7125635.586451862,-382283.878853739
2021-01-01,-16866.178256114265,-12462221.004893964,908416.1374439468,7176347.434725059,-555703.2977385104
2021-02-01,-16938.983356321125,-12526198.081823088,866467.4691810627,7259510.124213425,-269753.91763081955
2021-03-01,-17016.243567643724,-12593183.278252948,824629.6152566716,7306913.821910244,138663.4222245375
2021-04-01,-17093.070491336865,-12659907.714982491,767817.3695299693,7452298.084460236,269397.863597522
2021-05-01,-17179.48197304671,-12732491.803628206,598024.315412188,7371717.649482948,486575.306171825
2021-06-01,-17260.77516909875,-12802434.248712657,560209.3260228055,7336367.913874423,829945.9773849079
2021-07-01,-17338.437131180348,-12870706.108041191,562507.2588715769,7375277.384883162,1190346.098405249
2021-08-01,-17413.208862400763,-12937588.413672986,567142.4426475194,7575382.81323153,1653202.6088087033
2021-09-01,-17499.10013376176,-13009522.870081438,389332.49771411205,7560905.207955389,2409507.908124758
2021-10-01,-17583.207162611598,-13080647.257727426,107560.28819937208,7818858.678295681,3422778.363536234
2021-11-01,-17669.196585046306,-13152443.701492313,-477187.8931560757,8240356.52880541,4977277.885345756
2021-12-01,-17762.247965240946,-13226473.115453636,-1669320.819666985,8675699.94121988,7107876.626164823
2022-01-01,-17855.846570304137,-13300658.436865656,-2921522.530687054,8658062.754831366,8747225.671064695
2022-02-01,-17931.53766767531,-13369012.713159503,-4657042.6167501435,9210114.521384586,9167486.20127196
2022-03-01,-18017.380413329473,-13440003.427123517,-6895131.740093951,9898898.809454842,9987474.108262692
2022-04-01,-18121.27135984351,-13514687.518710783,-9421843.59902286,10751581.42579065,11303772.986233646
2022-05-01,-18238.90687647949,-13593753.69833658,-10677712.822478129,10893901.684178155,12772634.853815004
2022-06-01,-18387.628508607235,-13680557.350729793,-11245125.355538271,10895425.505226385,14126218.635714378
2022-07-01,-18615.803562568155,-13791528.665617619,-12107546.553489158,11028277.553422691,17620778.846522454
2022-08-01,-18881.045561518502,-13912662.149439666,-13146345.85275405,11255339.61014712,21449255.19552192
2022-09-01,-19164.289560559275,-14038828.289192101,-14057423.51945161,11453036.905661482,25114131.828741677
2022-10-01,-19478.773724302748,-14175163.393002827,-14814129.268439688,11279229.111452864,29349578.04530378
2022-11-01,-19786.779174248568,-14309164.205504183,-15249597.508717142,11142193.71003134,32299562.21858652
2022-12-01,-20075.037073204094,-14436148.395611178,-15681310.521497903,10800581.073727578,34753336.66947887
2023-01-01,-20315.292435039915,-14544685.292960055,-15659373.539863529,10299783.545596112,36178010.700216115
2023-02-01,-20535.791251352915,-14643820.485082451,-15485239.618037568,9642192.882095534,37939328.2146622
2023-03-01,-20733.592291556026,-14733025.50923905,-15065230.133935796,9068222.635937873,39651828.41278157
2023-04-01,-20946.265897403533,-14828285.145604761,-14920795.693624204,8938575.688194852,40848786.91571972
2023-05-01,-21115.533136085407,-14898882.553701365,-14739150.594562918,8814610.567172658,42743858.271397255
2023-06-01,-21256.793575530326,-14956768.317948138,-14535546.515327005,8983523.733496845,45212750.13844104
2023-07-01,-21399.97670045251,-15015568.57174376,-14418280.40103477,9813479.124537835,47586235.26579234
2023-08-01,-21539.824986494015,-15072788.34139187,-14057180.93583083,11021948.036787553,47292899.6184474
2023-09-01,-21661.648763716912,-15120254.927220657,-13328712.484516876,12079929.636493457,43972337.56573899
2023-10-01,-21784.181580661047,-15168072.690083573,-12744301.533756629,13058840.52006699,39784746.439948946
2023-11-01,-21869.213292145105,-15197796.381963028,-12556262.46770541,14016278.126082256,35075206.696271725
2023-12-01,-21889.897137552256,-15194240.777203908,-12627700.202502731,14937086.928602617,31025125.331971306
2024-01-01,-21890.21907399144,-15179738.282238219,-12506257.440920684,15842350.76737292,29635097.62982373
2024-02-01,-21825.751010641558,-15128324.99954869,-12388304.544314897,17261342.49814596,26452377.940339305
2024-03-01,-21699.66570900318,-15046863.336168382,-12202599.346043987,19208694.96425228,20069346.325888213
2024-04-01,-21541.992216079147,-14950358.837322418,-11640922.600262197,21356085.682630014,11808393.72018212
2024-05-01,-21323.58673728016,-14819107.43969009,-11222629.913958242,23127672.51382038,8204341.778902344
2024-06-01,-20973.848612072234,-14616414.308352374,-10661227.318655565,25000636.40243296,65723.51691287271
2024-07-01,-20589.36715988642,-14394812.930921204,-9829943.863736818,26830866.456448343,-10928517.81048233
2024-08-01,-20156.570675108695,-14148109.958304625,-8916989.106163464,28712117.07184779,-26733094.520887114
2024-09-01,-19667.092761526532,-13869275.979009116,-8586398.826047556,30587759.626870636,-43416440.127203986
2024-10-01,-19127.403677969553,-13561450.92979652,-8199825.9103049645,32314726.38711144,-57067217.894912854
2024-11-01,-18495.038582576835,-13202134.065893058,-8082093.036245081,34047607.02526655,-72652233.18860714
2024-12-01,-17856.80504275208,-12839370.441805424,-7894330.191087596,35810122.45948983,-86302922.58181131
2025-01-01,-17247.517310516476,-12491950.32420288,-7730701.582556021,37642963.33345839,-105835035.1742544
2025-02-01,-16786.260031995072,-12235398.326994825,-8626683.88244287,39574437.40977225,-124121512.85654621
2025-03-01,-16474.965612178523,-12064775.011995917,-9140708.094749074,41336524.63162991,-142309852.44214445
